repeat,alpha_C,alpha_rho,alpha_F,alpha_Q,alpha_eta,TP,FP,TN,FN,recall,frr,precision,specificity,f1,mcc,balanced_accuracy
135,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1380,190,7789,226,0.8592777085927771,0.023812507833061786,0.8789808917197452,0.9761874921669382,0.8690176322418135,0.8430896903475738,0.9177326003798576
136,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1366,189,7779,238,0.8516209476309227,0.02371987951807229,0.8784565916398713,0.9762801204819277,0.8648306426084205,0.8382704346566551,0.9139505340564251
137,0.24941804215425473,0.1335951292533616,0.10087363977443363,0.5109901668695779,0.005123021948372288,1375,193,7759,225,0.859375,0.024270623742454728,0.8769132653061225,0.9757293762575453,0.8680555555555555,0.8418905665907603,0.9175521881287727
138,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1366,187,7786,240,0.8505603985056039,0.023454157782515993,0.8795878943979395,0.976545842217484,0.8648306426084204,0.8383196473407591,0.9135531203615439
139,0.24941804215425473,0.1335951292533616,0.10087363977443363,0.5109901668695779,0.005123021948372288,1366,199,7806,236,0.8526841448189763,0.02485946283572767,0.8728434504792332,0.9751405371642723,0.8626460372592358,0.8356243554728935,0.9139123409916243
140,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1370,191,7777,234,0.8541147132169576,0.023970883534136546,0.877642536835362,0.9760291164658634,0.8657187993680885,0.8392384471086959,0.9150719148414106
141,0.24941804215425473,0.1335951292533616,0.10087363977443363,0.5109901668695779,0.005123021948372288,1371,198,7794,231,0.8558052434456929,0.024774774774774775,0.8738049713193117,0.9752252252252253,0.8647114474929045,0.8379960047449951,0.9155152343354591
142,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1369,192,7798,237,0.8524283935242839,0.024030037546933666,0.8770019218449712,0.9759699624530663,0.8645405746763499,0.8378976962929235,0.9141991779886751
143,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1375,183,7759,237,0.8529776674937966,0.02304205489801058,0.8825417201540436,0.9769579451019894,0.8675078864353313,0.8413403954780655,0.914967806297893
144,0.24941804215425473,0.1335951292533616,0.10087363977443363,0.5109901668695779,0.005123021948372288,1397,187,7745,211,0.8687810945273632,0.02357539082198689,0.8819444444444444,0.9764246091780131,0.8753132832080199,0.8502992935646893,0.9226028518526881
145,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1380,186,7759,232,0.8560794044665012,0.02341095028319698,0.8812260536398467,0.976589049716803,0.868470736312146,0.8423743551977092,0.9163342270916521
146,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1361,189,7794,249,0.8453416149068324,0.02367531003382187,0.8780645161290322,0.9763246899661782,0.8613924050632912,0.834289152491245,0.9108331524365052
147,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1366,185,7782,236,0.8526841448189763,0.023220785741182377,0.880722114764668,0.9767792142588176,0.866476371709483,0.840304996217081,0.9147316795388969
148,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1371,190,7765,247,0.8473423980222496,0.023884349465744813,0.8782831518257527,0.9761156505342552,0.8625353884869456,0.8353700630949493,0.9117290242782524
149,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1371,190,7767,237,0.8526119402985075,0.023878346110343094,0.8782831518257527,0.9761216538896569,0.8652571789207952,0.8386440185688228,0.9143667970940822
