topology,architecture,seed,case_id,committed,view,leader,prepare_votes,commit_votes,started_at,committed_at,view_changes,reason,message_count,bytes_sent,safety_violation
smoke,ahmed_inspired_witness_vpuft,1002,case-1002-veh_014-w0005,True,0,rsu-1,4,4,89.37685255709948,89.41625271611085,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_002-w0001,True,0,rsu-1,4,4,29.0298289742712,29.068902481181645,0,committed,28,10432,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_004-w0001,True,0,rsu-1,4,4,29.064518492941914,29.102600495926453,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_008-w0001,True,0,rsu-1,4,4,29.10184227798906,29.134338032043907,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_002-w0002,True,0,rsu-1,4,4,44.01472747024294,44.06309828326885,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_004-w0002,True,0,rsu-1,4,4,44.06025865032784,44.09718402575465,0,committed,28,10432,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_006-w0002,True,0,rsu-1,4,4,44.02678236442944,44.13383919824092,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_008-w0002,True,0,rsu-1,4,4,44.13779752059944,44.175216242217886,0,committed,29,10784,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_010-w0002,True,0,rsu-1,4,4,44.19964989571104,44.24472098694136,0,committed,28,10624,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_002-w0003,True,0,rsu-1,4,4,59.024414850201424,59.06266813589501,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_004-w0003,True,0,rsu-1,4,4,59.06977669189048,59.10401064771394,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_006-w0003,True,0,rsu-1,4,4,59.027265876021325,59.1403687100596,0,committed,28,10432,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_008-w0003,True,0,rsu-1,4,4,59.14717784373558,59.18457743469427,0,committed,28,10624,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_010-w0003,True,0,rsu-1,4,4,59.22171079934475,59.26181909444144,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_002-w0004,True,0,rsu-1,4,4,74.01655138565067,74.04855735552616,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_004-w0004,True,0,rsu-1,4,4,74.05848192009883,74.0952552427517,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_006-w0004,True,0,rsu-1,4,4,74.00990453432371,74.13699422631706,0,committed,28,10432,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_008-w0004,True,0,rsu-1,4,4,74.14078976176515,74.1877111300716,0,committed,28,10624,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_010-w0004,True,0,rsu-1,4,4,74.23985458665268,74.27189791439942,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_012-w0004,True,0,rsu-1,4,4,74.27958312658022,74.32305277761184,0,committed,28,10432,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_014-w0004,True,0,rsu-1,4,4,74.3547960313827,74.39857123162959,0,committed,27,10080,False
smoke,distributed_rsu_vpuft,1003,case-1003-veh_008-w0005,True,0,rsu-1,4,4,89.05303890646557,89.09431805002521,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1003,case-1003-veh_002-w0001,True,0,rsu-1,4,4,29.02255134295687,29.06408327725213,0,committed,29,10784,False
smoke,ahmed_inspired_witness_vpuft,1003,case-1003-veh_008-w0001,True,0,rsu-1,4,4,29.20367455208056,29.24804233544821,0,committed,28,10432,False
smoke,ahmed_inspired_witness_vpuft,1003,case-1003-veh_012-w0001,True,0,rsu-1,4,4,29.33292363318894,29.373888256357755,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1003,case-1003-veh_002-w0002,True,0,rsu-1,4,4,44.030623395342026,44.063284539930045,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1003,case-1003-veh_004-w0002,True,0,rsu-1,4,4,44.07559079248582,44.111350518548456,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1003,case-1003-veh_006-w0002,True,0,rsu-1,4,4,44.02707021301561,44.15999546753258,0,committed,28,10432,False
smoke,ahmed_inspired_witness_vpuft,1003,case-1003-veh_008-w0002,True,0,rsu-1,4,4,44.17029740371938,44.20367447667585,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1003,case-1003-veh_010-w0002,True,0,rsu-1,4,4,44.26619332477028,44.30586037359178,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1003,case-1003-veh_012-w0002,True,0,rsu-1,4,4,44.307646346506765,44.34316568145381,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1003,case-1003-veh_014-w0002,True,0,rsu-1,4,4,44.359053222927145,44.39861623175876,0,committed,28,10432,False
smoke,ahmed_inspired_witness_vpuft,1003,case-1003-veh_002-w0003,True,0,rsu-1,4,4,59.057093447114994,59.09320089673599,0,committed,28,10432,False
smoke,ahmed_inspired_witness_vpuft,1003,case-1003-veh_004-w0003,True,0,rsu-1,4,4,59.12202855776562,59.15490517995011,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1003,case-1003-veh_006-w0003,True,0,rsu-1,4,4,59.18142673612062,59.22101389367827,0,committed,27,10080,False
smoke,ahmed_inspired_witness_vpuft,1003,case-1003-veh_008-w0003,True,0,rsu-1,4,4,59.26777423609293,59.30245893224536,0,committed,27,10080,False
