topology,architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,cpu_time_seconds,peak_memory_kb,seed
smoke,distributed_rsu_vpuft,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14261.16407469982,109.5587482985465,14127.585172914069,14295.757110628656,14344.021569682607,15.941905117685453,4874,30.848101265822784,3270752,20700.96202531645,89,5025.777682106563,0.9817398440705786,1.0,0,0,0,21,1,0,0,1.3407604999956677,1.328125,4690.8701171875,1004
smoke,ahmed_inspired_witness_vpuft,22,4,129,3,0.8461538461538461,0.88,0.0300751879699248,0.12,0.9699248120300752,0.8627450980392156,0.836570783400992,8000.0,14737.727542504976,41.68784139416459,14295.863931692931,14771.873859738223,14928.456848307926,15.642195256310387,30032,190.0759493670886,22552432,142736.91139240508,617,3327.80604653768,0.9794219499200852,1.0,0,0,0,26,1,0,0,4.533245900005568,4.46875,17942.8330078125,1004
smoke,centralized_vpuft,21,2,131,4,0.9130434782608696,0.84,0.0150375939849624,0.16,0.9849624060150376,0.8749999999999999,0.8536880074557871,8000.0,14094.599000346603,0.0,14068.112633429892,14157.992672600718,14188.734475934163,1.0000000000047748,5387,34.09493670886076,3792448,24002.835443037973,114,5833.833401893611,0.9788379431965843,,0,0,0,23,1,0,0,1.2245455000083894,1.203125,4788.3994140625,1005
smoke,distributed_rsu_vpuft,21,2,131,4,0.9130434782608696,0.84,0.0150375939849624,0.16,0.9849624060150376,0.8749999999999999,0.8536880074557871,8000.0,14252.311553678268,98.8263868019956,14134.327654290904,14298.90645953004,14330.051522599748,14.758758846995688,4882,30.89873417721519,3256320,20609.62025316456,95,4925.776745237876,0.980540761982794,1.0,0,0,0,23,1,0,0,1.2625971999950707,1.234375,4686.4638671875,1005
smoke,ahmed_inspired_witness_vpuft,20,4,129,5,0.8333333333333334,0.8,0.0300751879699248,0.2,0.9699248120300752,0.816326530612245,0.7828636358030346,8000.0,14651.636669954943,43.37102268941244,14262.258095955414,14690.099013553676,14839.600441743703,16.670313924065635,29155,184.5253164556962,21923508,138756.37974683545,561,3293.010446097588,0.9807580174927114,1.0,0,0,0,24,1,0,0,4.643396900035441,4.625,17695.4775390625,1005
smoke,centralized_vpuft,20,2,131,5,0.9090909090909092,0.8,0.0150375939849624,0.2,0.9849624060150376,0.8510638297872342,0.8274921602653108,8000.0,14093.79040075637,0.0,14067.537092216568,14158.638151527584,14170.305166007622,1.0000000000047748,5395,34.14556962025316,3798080,24038.481012658227,102,5853.69591251176,0.9810936051899908,,0,0,0,22,1,0,0,1.2388805000227876,1.234375,4857.384765625,1006
smoke,distributed_rsu_vpuft,20,2,131,5,0.9090909090909092,0.8,0.0150375939849624,0.2,0.9849624060150376,0.8510638297872342,0.8274921602653108,8000.0,14290.402619485389,125.0001182244432,14156.433812384048,14323.849651513496,14368.604249399305,13.679220753110144,4985,31.550632911392405,3335776,21112.506329113923,100,4991.359022044682,0.9799398194583752,1.0,0,0,0,22,1,0,0,1.3154406999819912,1.328125,4760.154296875,1006
smoke,ahmed_inspired_witness_vpuft,22,4,129,3,0.8461538461538461,0.88,0.0300751879699248,0.12,0.9699248120300752,0.8627450980392156,0.836570783400992,8000.0,14804.472108342025,45.42389544937375,14311.39937079706,14843.746513509195,14921.95815301136,15.401607135466122,30086,190.41772151898732,22565284,142818.25316455695,624,3193.570088807485,0.9792594562254868,1.0,0,0,0,26,1,0,0,4.343001899949741,4.328125,17952.4365234375,1006
smoke,centralized_vpuft,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14106.333722153324,0.0,14068.956952526289,14164.63591399728,14179.339081202328,1.0000000000047748,5382,34.063291139240505,3788928,23980.556962025315,102,5844.876109996464,0.9810479375696768,,0,0,0,21,1,0,0,1.24763100000564,1.234375,4826.00390625,1007
smoke,distributed_rsu_vpuft,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14283.37586996564,123.3795741715582,14145.613614078173,14321.571535518417,14368.682276942383,13.406744280224814,4971,31.462025316455694,3333632,21098.93670886076,106,5017.159243823508,0.9786763226714946,1.0,0,0,0,21,1,0,0,1.2670269000227563,1.25,4725.1669921875,1007
