architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,seed,topology,cpu_time_seconds,peak_memory_kb,fault_activated_count,semantic_invalid_proposals,validator_recheck_failures,evidence_guard_checks,evidence_guard_rejections
distributed_extension_honest,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14386.849856194687,189.29868904646696,14200.045444828129,14458.649115236987,14566.119161375444,14.996156352854229,4255,26.93037974683544,5399360,34173.16455696202,77,4327.068972020296,0.981903642773208,1.0,0,0,0,21,1,0,0,2.361157599996659,1003,smoke,2.359375,4640.3740234375,0,0,0,0,0
distributed_extension_false_accusation_rsu,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14417.8075435143,178.54217245928794,14191.504775520609,14478.661670049618,14581.728088395072,14.83543156054168,4798,30.367088607594937,5755616,36427.94936708861,88,4595.749168174806,0.9816590245935808,1.0,0,0,0,21,1,0,0,2.490711700011161,1003,smoke,2.453125,5159.033203125,0,0,0,0,0
distributed_extension_concealment_rsu,14,2,131,11,0.875,0.56,0.0150375939849624,0.44,0.9849624060150376,0.6829268292682927,0.6592622449481736,8000.0,14225.675708123244,183.20052313475443,14159.811187120224,14302.328560114283,14319.777109530707,15.378346622061834,4178,26.443037974683545,4239008,26829.164556962027,75,4559.8585476945545,0.982048827190043,1.0,0,0,0,16,1,0,0,1.9058155999955488,1003,smoke,1.890625,4678.8828125,0,0,0,0,0
distributed_extension_malicious_validator,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14557.183702979097,303.9199342085652,14384.13916071353,14788.492123651962,14846.640637557392,14.996156352854229,4288,27.139240506329116,5372736,34004.6582278481,77,4336.771907554601,0.9820429104477612,1.0,0,0,11,21,1,0,0,2.352906100000837,1003,smoke,2.34375,4645.6328125,11,11,0,0,0
distributed_extension_guard_honest,10,2,131,15,0.8333333333333334,0.4,0.0150375939849624,0.6,0.9849624060150376,0.5405405405405406,0.5303310974171689,8000.0,14255.067189017263,149.21213471926393,14123.795879474956,14337.417250862452,14400.253737140754,15.672235666458787,3934,24.89873417721519,3832896,24258.835443037973,71,4650.543805645564,0.981952211489578,1.0,0,0,0,12,1,0,0,1.7657132000022102,1003,smoke,1.75,4512.8359375,0,0,0,25,9
distributed_extension_guard_false_accusation_rsu,10,2,131,15,0.8333333333333334,0.4,0.0150375939849624,0.6,0.9849624060150376,0.5405405405405406,0.5303310974171689,8000.0,14237.422417426307,140.41594035082665,14123.61714632361,14320.759155898351,14384.07096036743,15.288714802118974,4479,28.348101265822784,4213728,26669.164556962027,84,4896.125435231375,0.9812458137977228,1.0,0,0,0,12,1,0,0,1.97877959998732,1003,smoke,1.984375,5031.9892578125,0,0,0,25,9
distributed_extension_honest,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14441.83624525016,178.91206138200033,14188.386671223428,14500.18746901516,14593.219152579904,14.659161960850042,4220,26.70886075949367,5314272,33634.63291139241,75,4372.518711628828,0.9822274881516588,1.0,0,0,0,21,1,0,0,2.391298699993058,1004,smoke,2.375,4599.265625,0,0,0,0,0
distributed_extension_false_accusation_rsu,19,3,130,6,0.8636363636363636,0.76,0.0225563909774436,0.24,0.9774436090225564,0.8085106382978724,0.7773987651228131,8000.0,14380.22485226186,167.72629690871986,14186.789755454787,14435.855112804707,14533.502288369278,14.293928766855402,4801,30.38607594936709,5805280,36742.27848101266,89,4580.098955941347,0.9814621953759634,1.0,0,0,0,22,1,0,0,2.580912999997963,1004,smoke,2.546875,5133.4287109375,0,0,0,0,0
distributed_extension_concealment_rsu,14,2,131,11,0.875,0.56,0.0150375939849624,0.44,0.9849624060150376,0.6829268292682927,0.6592622449481736,8000.0,14221.042782113744,188.8841662805998,14151.82426968918,14289.564572958436,14322.154861925852,15.467949320859375,4143,26.22151898734177,4225824,26745.721518987342,73,4647.982915900255,0.9823799179338644,1.0,0,0,0,16,1,0,0,1.9143981999950483,1004,smoke,1.890625,4633.4462890625,0,0,0,0,0
distributed_extension_malicious_validator,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14729.715601407905,508.365918279317,14394.526399581173,14944.923908292396,15011.89608669689,15.335233650695557,4263,26.981012658227847,5360416,33926.6835443038,76,4387.318061622227,0.9821721792165142,1.0,0,0,14,21,1,0,0,2.35944310000923,1004,smoke,2.3125,4609.2451171875,14,14,0,0,0
distributed_extension_guard_honest,12,2,131,13,0.8571428571428571,0.48,0.0150375939849624,0.52,0.9849624060150376,0.6153846153846153,0.5971293263527593,8000.0,14229.712238682414,136.74693958939304,14137.09496505797,14342.193579020668,14370.854881303969,14.376488975911885,3970,25.126582278481013,4245632,26871.08860759494,70,4615.658061633715,0.982367758186398,1.0,0,0,0,14,1,0,0,1.9717803999956232,1004,smoke,1.921875,4514.67578125,0,0,0,27,7
distributed_extension_guard_false_accusation_rsu,12,2,131,13,0.8571428571428571,0.48,0.0150375939849624,0.52,0.9849624060150376,0.6153846153846153,0.5971293263527593,8000.0,14248.50146149938,138.61937538502323,14147.623459660632,14358.369757794371,14394.580049923889,15.707926886779331,4513,28.563291139240505,4666912,29537.41772151899,81,4847.734020538964,0.982051850210503,1.0,0,0,0,14,1,0,0,2.133988900008262,1004,smoke,2.078125,5032.3271484375,0,0,0,28,8
distributed_extension_honest,21,2,131,4,0.9130434782608696,0.84,0.0150375939849624,0.16,0.9849624060150376,0.8749999999999999,0.8536880074557871,8000.0,14486.60335085896,191.2335358112585,14206.663714540582,14563.533579996098,14675.108300726664,15.018802180044586,4282,27.10126582278481,5715296,36172.759493670885,88,4186.4178667973065,0.9794488556749182,1.0,0,0,0,23,1,0,0,2.5391871000028914,1005,smoke,2.515625,4622.14453125,0,0,0,0,0
distributed_extension_false_accusation_rsu,21,3,130,4,0.875,0.84,0.0225563909774436,0.16,0.9774436090225564,0.8571428571428572,0.8311810008252531,8000.0,14462.832927408015,195.90335307867383,14213.014798824986,14520.890261244416,14617.782604286189,15.13369670729716,4856,30.734177215189877,6045056,38259.84810126582,95,4417.539303397318,0.9804365733113674,1.0,0,0,0,24,1,0,0,2.6322364999941783,1005,smoke,2.359375,5147.86328125,0,0,0,0,0
distributed_extension_concealment_rsu,14,2,131,11,0.875,0.56,0.0150375939849624,0.44,0.9849624060150376,0.6829268292682927,0.6592622449481736,8000.0,14215.79782255125,182.59837805089063,14164.47301272768,14301.25050637857,14307.529359899358,14.577214277462502,4131,26.14556962025317,4286144,27127.49367088608,82,4464.142030505723,0.980150084725248,1.0,0,0,0,16,1,0,0,1.9170339999982389,1005,smoke,1.84375,4614.7021484375,0,0,0,0,0
distributed_extension_malicious_validator,21,2,131,4,0.9130434782608696,0.84,0.0150375939849624,0.16,0.9849624060150376,0.8749999999999999,0.8536880074557871,8000.0,14796.438259016364,439.0337418184202,14418.85697531044,14980.512640757212,15072.67480689623,14.313061984098496,4325,27.373417721518987,5540864,35068.759493670885,89,4190.75828313826,0.979421965317919,1.0,0,0,14,23,1,0,0,2.4427539999887813,1005,smoke,2.34375,4613.224609375,14,14,0,0,0
distributed_extension_guard_honest,8,2,131,17,0.8,0.32,0.0150375939849624,0.68,0.9849624060150376,0.4571428571428571,0.45710005387907,8000.0,14203.363029729511,120.9837364573854,14120.566006152749,14294.046259377792,14347.792486020451,15.764522499680568,3814,24.139240506329116,3619200,22906.32911392405,75,4587.756746453087,0.9803356056633457,1.0,0,0,0,10,1,0,0,1.6915409000066577,1005,smoke,1.640625,4451.189453125,0,0,0,27,13
distributed_extension_guard_false_accusation_rsu,8,2,131,17,0.8,0.32,0.0150375939849624,0.68,0.9849624060150376,0.4571428571428571,0.45710005387907,8000.0,14199.600279945484,123.81748696546636,14134.269457823655,14292.43235436465,14350.713995191163,14.855455492377876,4361,27.60126582278481,4027552,25490.835443037973,90,4820.032732381751,0.9793625315294656,1.0,0,0,0,10,1,0,0,1.8386704000004104,1005,smoke,1.828125,4971.2666015625,0,0,0,28,14
