architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,topology,vehicle_count,seed,backhaul_extra_latency_ms,cpu_time_seconds,peak_memory_kb,fault_activated_count,invalid_proposal_attempt_count
distributed_density_honest,4,1,68,4,0.8,0.5,0.014492753623188406,0.5,0.9855072463768116,0.6153846153846154,0.6011931239649515,10200.000000000004,14026.675358926313,75.64954341522139,14086.486568512904,14094.315245076868,14094.364697765268,13.737409754629937,1666,21.636363636363637,1521120,19754.805194805194,34,4027.1912558442136,0.9795918367346939,1.0,0,0,0,5,1,0,0,1.166474699995888,urban_roundabout,40,1001,,1.109375,2074.6494140625,0,0
centralized_remote_0ms_control,4,1,68,4,0.8,0.5,0.014492753623188406,0.5,0.9855072463768116,0.6153846153846154,0.6011931239649515,10200.000000000004,14056.330362013689,0.0,14041.985083297654,14079.406533688696,14090.96096156646,1.0000000000008669,2413,31.337662337662337,1698752,22061.714285714286,35,5286.360901782027,0.985495234148363,,0,0,0,5,1,0,0,0.8881337999991956,urban_roundabout,40,1001,0.0,0.8125,2221.5546875,0,0
centralized_remote_100ms,4,1,68,4,0.8,0.5,0.014492753623188406,0.5,0.9855072463768116,0.6153846153846154,0.6011931239649515,10200.000000000004,14156.330362013685,0.0,14141.985083297655,14179.406533688696,14190.960961566461,1.0000000000008669,2413,31.337662337662337,1698752,22061.714285714286,35,5286.360901782027,0.985495234148363,,0,0,0,5,1,0,0,0.9326232000021264,urban_roundabout,40,1001,100.0,0.9375,2221.390625,0,0
distributed_density_honest,4,1,68,4,0.8,0.5,0.014492753623188406,0.5,0.9855072463768116,0.6153846153846154,0.6011931239649515,10200.000000000004,14023.288634838811,72.84938728698123,14078.13552734937,14094.451037226147,14096.326714723971,15.317991026327958,1634,21.22077922077922,1456256,18912.415584415583,34,4062.2111860897808,0.9791921664626683,1.0,0,0,0,5,1,0,0,1.1015942000012728,urban_roundabout,40,1002,,1.03125,2042.02734375,0,0
centralized_remote_0ms_control,4,1,68,4,0.8,0.5,0.014492753623188406,0.5,0.9855072463768116,0.6153846153846154,0.6011931239649515,10200.000000000004,14055.552166808457,0.0,14040.073899635117,14081.448424806054,14093.486158517973,1.0000000000008669,2408,31.272727272727273,1695232,22016.0,47,5259.244960132903,0.9804817275747508,,0,0,0,5,1,0,0,0.9413385000007111,urban_roundabout,40,1002,0.0,0.875,2201.669921875,0,0
centralized_remote_100ms,4,1,68,4,0.8,0.5,0.014492753623188406,0.5,0.9855072463768116,0.6153846153846154,0.6011931239649515,10200.000000000004,14155.552166808451,0.0,14140.073899635112,14181.448424806056,14193.486158517968,1.0000000000008669,2408,31.272727272727273,1695232,22016.0,47,5259.244960132903,0.9804817275747508,,0,0,0,5,1,0,0,0.8529336999999941,urban_roundabout,40,1002,100.0,0.8125,2196.04296875,0,0
distributed_density_honest,3,1,66,5,0.75,0.375,0.014925373134328358,0.625,0.9850746268656716,0.5,0.4946701952413567,10299.999999999996,14008.356367717535,69.78159652352981,14077.159027002692,14079.946609476136,14080.313178413902,14.77178226154816,1640,21.866666666666667,1460608,19474.773333333334,25,3537.2156435402,0.9847560975609756,1.0,0,0,0,4,1,0,0,1.377751600004558,urban_roundabout,40,1003,,1.359375,2071.1923828125,0,0
centralized_remote_0ms_control,3,1,66,5,0.75,0.375,0.014925373134328358,0.625,0.9850746268656716,0.5,0.4946701952413567,10299.999999999996,14055.169455473148,0.0,14037.185682582698,14070.098350905399,14091.43913394626,1.0000000000009557,2430,32.4,1710720,22809.6,42,5237.990060905362,0.9827160493827161,,0,0,0,4,1,0,0,0.9548317000007955,urban_roundabout,40,1003,0.0,0.90625,2230.302734375,0,0
centralized_remote_100ms,3,1,66,5,0.75,0.375,0.014925373134328358,0.625,0.9850746268656716,0.5,0.4946701952413567,10299.999999999996,14155.16945547315,0.0,14137.185682582694,14170.098350905395,14191.439133946256,1.0000000000009557,2430,32.4,1710720,22809.6,42,5237.990060905362,0.9827160493827161,,0,0,0,4,1,0,0,1.1016578000053414,urban_roundabout,40,1003,100.0,1.078125,2222.357421875,0,0
distributed_density_honest,3,1,66,5,0.75,0.375,0.014925373134328358,0.625,0.9850746268656716,0.5,0.4946701952413567,11000.0,14011.29855768742,69.08293072478226,14078.197460907319,14085.687135524115,14086.627932907882,13.561605390427545,1576,21.013333333333332,1412032,18827.093333333334,26,3798.870996348613,0.983502538071066,1.0,0,0,0,4,1,0,0,1.0957108000002336,urban_roundabout,40,1004,,1.09375,2023.037109375,0,0
centralized_remote_0ms_control,3,1,66,5,0.75,0.375,0.014925373134328358,0.625,0.9850746268656716,0.5,0.4946701952413567,11000.0,14051.230033978169,0.0,14037.802339064778,14077.989178754395,14093.227363923254,1.0000000000009557,2379,31.72,1674816,22330.88,42,5207.57192433797,0.9823455233291298,,0,0,0,4,1,0,0,0.852056800002174,urban_roundabout,40,1004,0.0,0.84375,2187.6640625,0,0
centralized_remote_100ms,3,1,66,5,0.75,0.375,0.014925373134328358,0.625,0.9850746268656716,0.5,0.4946701952413567,11000.0,14151.23003397817,0.0,14137.802339064778,14177.989178754397,14193.227363923255,1.0000000000009557,2379,31.72,1674816,22330.88,42,5207.57192433797,0.9823455233291298,,0,0,0,4,1,0,0,0.9401238999998895,urban_roundabout,40,1004,100.0,0.9375,2187.6640625,0,0
distributed_density_honest,4,1,66,4,0.8,0.5,0.014925373134328358,0.5,0.9850746268656716,0.6153846153846154,0.6002842255014932,10299.999999999996,14021.718863771503,87.18225955089521,14082.690821814002,14108.311043313155,14113.407161816978,15.08732317147512,1641,21.88,1475392,19671.893333333333,33,4147.976431406944,0.979890310786106,1.0,0,0,0,5,1,0,0,1.1873556999998982,urban_roundabout,40,1005,,1.1875,2041.783203125,0,0
centralized_remote_0ms_control,4,1,66,4,0.8,0.5,0.014925373134328358,0.5,0.9850746268656716,0.6153846153846154,0.6002842255014932,10299.999999999996,14055.897600858536,0.0,14040.435492318731,14084.015980662298,14103.969105774962,1.0000000000008669,2383,31.773333333333333,1677632,22368.426666666666,49,5319.244743600515,0.9794376835921108,,0,0,0,5,1,0,0,0.8505294999995385,urban_roundabout,40,1005,0.0,0.796875,2188.302734375,0,0
centralized_remote_100ms,4,1,66,4,0.8,0.5,0.014925373134328358,0.5,0.9850746268656716,0.6153846153846154,0.6002842255014932,10299.999999999996,14155.897600858538,0.0,14140.43549231873,14184.015980662294,14203.969105774964,1.0000000000008669,2383,31.773333333333333,1677632,22368.426666666666,49,5319.244743600515,0.9794376835921108,,0,0,0,5,1,0,0,0.8808484999972279,urban_roundabout,40,1005,100.0,0.84375,2188.302734375,0,0
