seed,case_id,source_kind,attestations,independent_roots,correlated_reports_suppressed,suppression_rate
1005,case-1005-veh_015-w0005,vehicle_witness,7,7,0,0.0
1005,case-1005-veh_016-w0001,rsu,41,13,28,0.6829268292682927
1005,case-1005-veh_016-w0001,vehicle_witness,48,48,0,0.0
1005,case-1005-veh_016-w0002,rsu,84,15,69,0.8214285714285714
1005,case-1005-veh_016-w0002,vehicle_witness,93,93,0,0.0
1005,case-1005-veh_016-w0003,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_016-w0003,vehicle_witness,120,120,0,0.0
1005,case-1005-veh_016-w0004,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_016-w0004,vehicle_witness,119,119,0,0.0
1005,case-1005-veh_016-w0005,rsu,83,15,68,0.8192771084337349
1005,case-1005-veh_016-w0005,vehicle_witness,76,76,0,0.0
1005,case-1005-veh_016-w0006,rsu,29,6,23,0.7931034482758621
1005,case-1005-veh_016-w0006,vehicle_witness,27,27,0,0.0
1005,case-1005-veh_017-w0001,rsu,35,12,23,0.6571428571428571
1005,case-1005-veh_017-w0001,vehicle_witness,32,32,0,0.0
1005,case-1005-veh_017-w0002,rsu,83,15,68,0.8192771084337349
1005,case-1005-veh_017-w0002,vehicle_witness,76,76,0,0.0
1005,case-1005-veh_017-w0003,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_017-w0003,vehicle_witness,120,120,0,0.0
1005,case-1005-veh_017-w0004,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_017-w0004,vehicle_witness,117,117,0,0.0
1005,case-1005-veh_017-w0005,rsu,82,15,67,0.8170731707317073
1005,case-1005-veh_017-w0005,vehicle_witness,61,61,0,0.0
1005,case-1005-veh_017-w0006,rsu,20,6,14,0.7
1005,case-1005-veh_017-w0006,vehicle_witness,22,22,0,0.0
1005,case-1005-veh_018-w0001,rsu,30,11,19,0.6333333333333333
1005,case-1005-veh_018-w0001,vehicle_witness,29,29,0,0.0
1005,case-1005-veh_018-w0002,rsu,80,15,65,0.8125
1005,case-1005-veh_018-w0002,vehicle_witness,63,63,0,0.0
1005,case-1005-veh_018-w0003,rsu,90,15,75,0.8333333333333334
1005,case-1005-veh_018-w0003,vehicle_witness,120,120,0,0.0
1005,case-1005-veh_018-w0004,rsu,89,15,74,0.8314606741573034
1005,case-1005-veh_018-w0004,vehicle_witness,105,105,0,0.0
1005,case-1005-veh_018-w0005,rsu,72,15,57,0.7916666666666666
1005,case-1005-veh_018-w0005,vehicle_witness,45,45,0,0.0
1005,case-1005-veh_018-w0006,rsu,12,6,6,0.5
1005,case-1005-veh_018-w0006,vehicle_witness,18,18,0,0.0
1005,case-1005-veh_019-w0001,rsu,26,10,16,0.6153846153846154
