seed,event_id,case_id,source_kind,attack_type,ground_truth_attack_type,direction,ground_truth_malicious
1008,wdet-d22be9a9b8c6ed507b487e5b,case-1008-veh_002-w0001,vehicle_witness,position_offset,position_offset,1,1
1008,wdet-d2647d937e3fd0d2c033a4e8,case-1008-veh_001-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-d6a3c1b56aba69786a6a124e,case-1008-veh_002-w0001,vehicle_witness,position_offset,position_offset,1,1
1008,wdet-d77ecd5f6ec8dfcfa5f0e6ff,case-1008-veh_018-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-d90d93f145d0f575c755a1fb,case-1008-veh_005-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-d9161aa27d4055d79b2704fb,case-1008-veh_010-w0001,vehicle_witness,flood,benign,-1,0
1008,wdet-d9cb81719a2eaca906a68bdd,case-1008-veh_014-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-d9fa82670fae7400bb06a4ba,case-1008-veh_012-w0001,vehicle_witness,false_denm,benign,0,0
1008,wdet-da59fddda5b1ac91c455c574,case-1008-veh_009-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-e131e20aa6852809448b99e5,case-1008-veh_022-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-e14b16b6c9738c74b283f10d,case-1008-veh_009-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-e1c68d93660b67e7a6ba6fa1,case-1008-veh_001-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-e38341484d9aebeafeaaa10c,case-1008-veh_014-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-e65c0f9e35f0f6f13fe31f98,case-1008-veh_019-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-e879a0300b71320f00c44e08,case-1008-veh_013-w0001,vehicle_witness,position_offset,benign,-1,0
1008,wdet-e95949fa09c90f57256da9a3,case-1008-veh_003-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-ee2afb5372abe30e7f61f466,case-1008-veh_015-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-ef3e86081c52d9b2daba14ba,case-1008-veh_015-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-ef5793015ef16b02e8cf2777,case-1008-veh_019-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-f032c7b0d6378480d1c3175d,case-1008-veh_015-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-f078261c490fe4a3fd6b9e17,case-1008-veh_016-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-f0ecdf676fdbc66b85fa7b6c,case-1008-veh_012-w0001,vehicle_witness,false_denm,benign,0,0
1008,wdet-f3c7c7b0b81e0b5f473fd2bb,case-1008-veh_004-w0001,vehicle_witness,speed_offset,speed_offset,1,1
1008,wdet-f5477e4cce3f252df14c3e10,case-1008-veh_009-w0001,vehicle_witness,benign,benign,-1,0
