case_id,observation_root_id,seed,attack_type,label,validity,direction,source_id,source_kind,validator_rsu_id,administrative_domain_id,geographic_cell,sensor_modality,detector_confidence,source_reliability,freshness,verifiability,independence,observed_at,reason_codes
case-intersection-1004-veh_001-benign,wroot-cef98545697715fb301b1177,1004,benign,0,1,-1,veh_000,vehicle_witness,rsu-5,domain-3,cell-1-1,vehicle_witness_observation,0.78,0.7841602679815649,0.99,0.76,0.8025620482669489,55.0,clean_observation
case-intersection-1004-veh_001-benign,wroot-2181303205f5e41407c459b3,1004,benign,0,1,-1,veh_009,vehicle_witness,rsu-6,domain-3,cell-2-2,vehicle_witness_observation,0.78,0.9304785348078641,0.99,0.76,0.9431998484660415,55.0,clean_observation
case-intersection-1004-veh_001-benign,wroot-e877ccc09513d4835bc2bd06,1004,benign,0,1,-1,veh_004,vehicle_witness,rsu-5,domain-3,cell-1-1,vehicle_witness_observation,0.78,0.7567988861913759,0.99,0.76,0.9026376877979475,55.0,clean_observation
case-intersection-1004-veh_001-benign,wroot-5b9929c5b1135c61b4cdbcfe,1004,benign,0,1,-1,veh_013,vehicle_witness,rsu-6,domain-3,cell-2-2,vehicle_witness_observation,0.78,0.8474395082066244,0.99,0.76,0.8380019518195596,55.0,clean_observation
case-intersection-1004-veh_001-benign,wroot-da9e7e3a0d0519f22bbda9e9,1004,benign,0,1,-1,veh_008,vehicle_witness,rsu-5,domain-3,cell-1-1,vehicle_witness_observation,0.78,0.9400640428516541,0.99,0.76,0.8738386824022999,55.0,clean_observation
case-intersection-1004-veh_001-benign,wroot-e774b638966c77164f6e2390,1004,benign,0,1,-1,veh_017,vehicle_witness,rsu-6,domain-3,cell-2-2,vehicle_witness_observation,0.78,0.7568906332772118,0.99,0.76,0.8161419488935125,55.0,clean_observation
case-intersection-1004-veh_002-position_offset,root-38c23f1dbf18314c26fa56c5,1004,position_offset,1,1,1,rsu-1,rsu,rsu-1,domain-1,cell-1-2,rsu_cam_plausibility,0.89,0.96,0.99,0.86,0.92,55.0,position_inconsistency
case-intersection-1004-veh_002-position_offset,root-38c23f1dbf18314c26fa56c5,1004,position_offset,1,1,1,rsu-2,rsu,rsu-2,domain-1,cell-3-2,rsu_cam_plausibility,0.89,0.95,0.99,0.86,0.68,55.0,position_inconsistency
case-intersection-1004-veh_002-position_offset,root-38c23f1dbf18314c26fa56c5,1004,position_offset,1,1,1,rsu-4,rsu,rsu-4,domain-2,cell-2-3,rsu_cam_plausibility,0.89,0.93,0.99,0.86,0.56,55.0,position_inconsistency
case-intersection-1004-veh_002-position_offset,root-38c23f1dbf18314c26fa56c5,1004,position_offset,1,1,1,rsu-5,rsu,rsu-5,domain-3,cell-1-1,rsu_cam_plausibility,0.89,0.92,0.99,0.86,0.44000000000000006,55.0,position_inconsistency
case-intersection-1004-veh_002-position_offset,root-38c23f1dbf18314c26fa56c5,1004,position_offset,1,1,1,rsu-6,rsu,rsu-6,domain-3,cell-2-2,rsu_cam_plausibility,0.89,0.9,0.99,0.86,0.35,55.0,position_inconsistency
case-intersection-1004-veh_002-position_offset,wroot-9546e2acdd9cd9c154c13fd2,1004,position_offset,1,1,1,veh_006,vehicle_witness,rsu-4,domain-2,cell-2-2,vehicle_witness_observation,0.89,0.7045722166128762,0.99,0.86,0.9264721469786371,55.0,position_inconsistency
case-intersection-1004-veh_003-benign,root-1d300b484783bef040634e3c,1004,benign,0,1,-1,rsu-1,rsu,rsu-1,domain-1,cell-1-2,rsu_cam_plausibility,0.78,0.96,0.99,0.76,0.92,55.0,clean_observation
case-intersection-1004-veh_003-benign,root-1d300b484783bef040634e3c,1004,benign,0,1,-1,rsu-2,rsu,rsu-2,domain-1,cell-3-2,rsu_cam_plausibility,0.78,0.95,0.99,0.76,0.68,55.0,clean_observation
case-intersection-1004-veh_003-benign,root-1d300b484783bef040634e3c,1004,benign,0,1,-1,rsu-3,rsu,rsu-3,domain-2,cell-2-1,rsu_cam_plausibility,0.78,0.94,0.99,0.76,0.56,55.0,clean_observation
case-intersection-1004-veh_003-benign,root-1d300b484783bef040634e3c,1004,benign,0,1,-1,rsu-5,rsu,rsu-5,domain-3,cell-1-1,rsu_cam_plausibility,0.78,0.92,0.99,0.76,0.44000000000000006,55.0,clean_observation
case-intersection-1004-veh_003-benign,root-1d300b484783bef040634e3c,1004,benign,0,1,-1,rsu-6,rsu,rsu-6,domain-3,cell-2-2,rsu_cam_plausibility,0.78,0.9,0.99,0.76,0.35,55.0,clean_observation
case-intersection-1004-veh_003-benign,wroot-e5e5ec445516a685f45c247a,1004,benign,0,1,-1,veh_007,vehicle_witness,rsu-3,domain-2,cell-1-0,vehicle_witness_observation,0.78,0.8427696423814944,0.99,0.76,0.9153178756597569,55.0,clean_observation
case-intersection-1004-veh_003-benign,wroot-e234cf1fbb2960c4467a8757,1004,benign,0,1,-1,veh_011,vehicle_witness,rsu-3,domain-2,cell-1-1,vehicle_witness_observation,0.78,0.6332210087260034,0.99,0.76,0.8680089126455269,55.0,clean_observation
case-intersection-1004-veh_004-speed_offset,root-821bea318f3380a8b5da5b7b,1004,speed_offset,1,1,1,rsu-1,rsu,rsu-1,domain-1,cell-1-2,rsu_cam_plausibility,0.89,0.96,0.99,0.86,0.92,55.0,speed_inconsistency
case-intersection-1004-veh_004-speed_offset,root-821bea318f3380a8b5da5b7b,1004,speed_offset,1,1,1,rsu-2,rsu,rsu-2,domain-1,cell-3-2,rsu_cam_plausibility,0.89,0.95,0.99,0.86,0.68,55.0,speed_inconsistency
case-intersection-1004-veh_004-speed_offset,root-821bea318f3380a8b5da5b7b,1004,speed_offset,1,1,1,rsu-3,rsu,rsu-3,domain-2,cell-2-1,rsu_cam_plausibility,0.89,0.94,0.99,0.86,0.56,55.0,speed_inconsistency
case-intersection-1004-veh_004-speed_offset,root-821bea318f3380a8b5da5b7b,1004,speed_offset,1,1,1,rsu-4,rsu,rsu-4,domain-2,cell-2-3,rsu_cam_plausibility,0.89,0.93,0.99,0.86,0.44000000000000006,55.0,speed_inconsistency
case-intersection-1004-veh_004-speed_offset,root-821bea318f3380a8b5da5b7b,1004,speed_offset,1,1,1,rsu-5,rsu,rsu-5,domain-3,cell-1-1,rsu_cam_plausibility,0.89,0.92,0.99,0.86,0.35,55.0,speed_inconsistency
case-intersection-1004-veh_004-speed_offset,root-821bea318f3380a8b5da5b7b,1004,speed_offset,1,1,1,rsu-6,rsu,rsu-6,domain-3,cell-2-2,rsu_cam_plausibility,0.89,0.9,0.99,0.86,0.35,55.0,speed_inconsistency
case-intersection-1004-veh_004-speed_offset,wroot-a1d806f7a8bfbd3ce7194914,1004,speed_offset,1,1,1,veh_008,vehicle_witness,rsu-5,domain-3,cell-1-1,vehicle_witness_observation,0.89,0.9400640428516541,0.99,0.86,0.9440536182903081,55.0,speed_inconsistency
case-intersection-1004-veh_004-speed_offset,wroot-8ad3fe9add9d029db8de30f9,1004,speed_offset,1,1,1,veh_000,vehicle_witness,rsu-5,domain-3,cell-1-1,vehicle_witness_observation,0.89,0.7841602679815649,0.99,0.86,0.9011344615843705,55.0,speed_inconsistency
case-intersection-1004-veh_004-speed_offset,wroot-84f911eddbaa73f2376ac4f9,1004,speed_offset,1,1,1,veh_012,vehicle_witness,rsu-5,domain-3,cell-1-1,vehicle_witness_observation,0.89,0.7416859055950897,0.99,0.86,0.8278989364629529,55.0,speed_inconsistency
case-intersection-1004-veh_004-speed_offset,wroot-ea0799be3ca117895f13dea4,1004,speed_offset,1,1,1,veh_022,vehicle_witness,rsu-6,domain-3,cell-2-1,vehicle_witness_observation,0.89,0.7224398597303165,0.99,0.86,0.8182549790285463,55.0,speed_inconsistency
case-intersection-1004-veh_004-speed_offset,wroot-f131f4f57be8d70b1ecd269c,1004,speed_offset,1,1,1,veh_001,vehicle_witness,rsu-6,domain-3,cell-2-2,vehicle_witness_observation,0.89,0.81864240292656,0.99,0.86,0.8216883802133035,55.0,speed_inconsistency
case-intersection-1004-veh_004-speed_offset,wroot-e05fa2200d566b9b35430f4b,1004,speed_offset,1,1,1,veh_016,vehicle_witness,rsu-5,domain-3,cell-1-1,vehicle_witness_observation,0.89,0.7506106315127987,0.99,0.86,0.8757918276214567,55.0,speed_inconsistency
case-intersection-1004-veh_004-speed_offset,wroot-e1938a8ea4095821b58c1e1c,1004,speed_offset,1,1,1,veh_005,vehicle_witness,rsu-6,domain-3,cell-2-2,vehicle_witness_observation,0.89,0.92511437548172,0.99,0.86,0.9323789535964486,55.0,speed_inconsistency
case-intersection-1004-veh_004-speed_offset,wroot-fbf0e73e3fc84fcde0b07645,1004,speed_offset,1,1,1,veh_020,vehicle_witness,rsu-5,domain-3,cell-1-1,vehicle_witness_observation,0.89,0.8846175065426958,0.99,0.86,0.8846406619332896,55.0,speed_inconsistency
case-intersection-1004-veh_005-benign,root-6581d0f2248358629ca15133,1004,benign,0,1,-1,rsu-1,rsu,rsu-1,domain-1,cell-1-2,rsu_cam_plausibility,0.78,0.96,0.99,0.76,0.92,55.0,clean_observation
