,,bytes_per_decision,bytes_per_decision,bytes_per_decision,false_revocation_rate,false_revocation_rate,false_revocation_rate,latency_p95_ms,latency_p95_ms,latency_p95_ms,malicious_revocation_recall,malicious_revocation_recall,malicious_revocation_recall,mcc,mcc,mcc,messages_per_decision,messages_per_decision,messages_per_decision,peak_memory_kb,peak_memory_kb,peak_memory_kb,trust_f1,trust_f1,trust_f1,trust_precision,trust_precision,trust_precision
architecture,,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft
topology,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,
corridor,1009,162114.07594936708,30873.518987341773,29445.67088607595,0.0300751879699248,0.0150375939849624,0.0150375939849624,14874.285928375031,14208.933446671252,14418.799546994664,0.96,0.88,0.88,0.888777330115168,0.8794983658474717,0.8794983658474717,217.1455696202532,43.85443037974684,43.48101265822785,19623.5625,6139.6240234375,6141.10546875,0.9056603773584904,0.8979591836734694,0.8979591836734694,0.8571428571428571,0.9166666666666666,0.9166666666666666
corridor,1010,162436.50632911394,30953.721518987342,29382.481012658227,0.037593984962406,0.0225563909774436,0.0225563909774436,14897.518879931647,14201.989491410244,14392.449303759851,0.92,0.88,0.88,0.8433611534792701,0.8574436090225563,0.8574436090225563,217.5506329113924,43.96835443037975,43.4746835443038,19477.8916015625,6211.7177734375,6193.607421875,0.8679245283018867,0.88,0.88,0.8214285714285714,0.88,0.88
grid,1001,82381.31428571428,27718.76056338028,26612.056338028167,0.0260869565217391,0.017094017094017,0.017094017094017,14500.38112583684,14159.602905301084,14351.44803208378,0.92,0.8,0.8,0.8803899964197276,0.824082295108704,0.824082295108704,111.6,39.37323943661972,39.5281690140845,8753.974609375,5005.576171875,5011.689453125,0.9019607843137256,0.8510638297872342,0.8510638297872342,0.8846153846153846,0.9090909090909092,0.9090909090909092
grid,1002,72086.8115942029,27535.323943661973,26682.591549295776,0.0267857142857142,0.0172413793103448,0.0172413793103448,14477.46252932097,14148.861429597337,14397.335254209738,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8318892801238078,0.8554166822375315,0.8554166822375315,97.8623188405797,39.11267605633803,39.76056338028169,7645.0703125,5074.5810546875,5031.8974609375,0.8627450980392156,0.8799999999999999,0.8799999999999999,0.88,0.9166666666666666,0.9166666666666666
grid,1003,68699.76642335767,27466.057142857146,26422.85714285714,0.0267857142857142,0.017391304347826,0.017391304347826,14480.13089839393,14137.725548276669,14371.715169716654,0.72,0.84,0.84,0.7432037250429142,0.8502670936332695,0.8502670936332695,93.007299270073,39.01428571428571,39.364285714285714,7234.693359375,4939.119140625,4953.130859375,0.782608695652174,0.8749999999999999,0.8749999999999999,0.8571428571428571,0.9130434782608696,0.9130434782608696
grid,1004,70685.17647058824,26907.88571428572,25821.94285714285,0.0272727272727272,0.0175438596491228,0.0175438596491228,14474.230098462329,14141.423928494456,14345.655636119694,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8050012254816592,0.8292604293282203,0.8292604293282203,95.9779411764706,38.22142857142857,38.50714285714286,7343.5927734375,4805.5380859375,4811.572265625,0.8400000000000001,0.8571428571428572,0.8571428571428572,0.875,0.9130434782608696,0.9130434782608696
grid,1005,78839.1884057971,27925.33333333333,26942.86524822695,0.0267857142857142,0.017391304347826,0.017391304347826,14511.914523166295,14172.36417972929,14399.369122199028,0.8076923076923077,0.8461538461538461,0.8461538461538461,0.8056320376240443,0.8551989444231628,0.8551989444231628,106.79710144927536,39.66666666666666,40.191489361702125,8268.0625,4994.7548828125,5027.1318359375,0.8400000000000001,0.8799999999999999,0.8799999999999999,0.875,0.9166666666666666,0.9166666666666666
grid,1006,75346.08823529411,27702.4,26599.314285714285,0.0267857142857142,0.0172413793103448,0.0172413793103448,14523.797734975467,14139.53362590559,14325.560765987357,1.0,0.7916666666666666,0.7916666666666666,0.930096427839267,0.8173931859663852,0.8173931859663852,102.41911764705884,39.35,39.457142857142856,7943.9833984375,4900.5771484375,4912.9755859375,0.9411764705882352,0.8444444444444444,0.8444444444444444,0.8888888888888888,0.9047619047619048,0.9047619047619048
grid,1007,72255.299270073,27055.88489208633,25959.827338129497,0.0267857142857142,0.0175438596491228,0.0175438596491228,14479.482890056608,14160.017527690909,14276.256246831945,0.92,0.72,0.72,0.8798051760515778,0.7686934219071898,0.7686934219071898,98.21897810218978,38.431654676258994,38.489208633093526,7615.9150390625,4826.1162109375,4822.4404296875,0.9019607843137256,0.7999999999999999,0.7999999999999999,0.8846153846153846,0.9,0.9
grid,1008,73044.11594202899,27381.106382978724,26493.7304964539,0.0265486725663716,0.0172413793103448,0.0172413793103448,14499.38049026018,14146.157025471552,14377.702088681664,0.84,0.88,0.88,0.8265759249244127,0.8767782234125103,0.8767782234125103,99.07971014492752,38.8936170212766,39.5177304964539,7712.564453125,4967.2939453125,4988.1611328125,0.8571428571428572,0.8979591836734694,0.8979591836734694,0.875,0.9166666666666666,0.9166666666666666
grid,1009,76551.17037037037,27476.405797101448,26511.07246376812,0.0272727272727272,0.0176991150442477,0.0176991150442477,14503.0858073051,14142.606917711457,14367.769508513647,1.0,0.84,0.84,0.931936957903534,0.8498203870615759,0.8498203870615759,104.14074074074074,39.028985507246375,39.5,7863.935546875,4815.09765625,4837.453125,0.9433962264150944,0.8749999999999999,0.8749999999999999,0.8928571428571429,0.9130434782608696,0.9130434782608696
grid,1010,77487.49295774648,27883.255172413792,26403.75172413793,0.0252100840336134,0.0163934426229508,0.0163934426229508,14509.509620959952,14145.331614591516,14342.404158292702,0.9130434782608696,0.8260869565217391,0.8260869565217391,0.872815098584963,0.8405121654674543,0.8405121654674543,104.943661971831,39.60689655172414,39.10344827586207,8345.3359375,5096.0322265625,5088.8173828125,0.8936170212765957,0.8636363636363636,0.8636363636363636,0.875,0.9047619047619048,0.9047619047619048
intersection,1001,126256.92307692308,52888.61538461538,46724.25174825175,0.0338983050847457,0.0169491525423728,0.0169491525423728,14579.587463428075,14224.054178117887,14370.752408039574,0.92,0.8,0.8,0.8599707868951425,0.8243221055778025,0.8243221055778025,169.6993006993007,75.12587412587412,68.07692307692308,13714.4716796875,9467.22265625,9233.251953125,0.8846153846153846,0.8510638297872342,0.8510638297872342,0.8518518518518519,0.9090909090909092,0.9090909090909092
intersection,1002,118575.43661971833,52550.66666666666,46167.55555555556,0.0427350427350427,0.0168067226890756,0.0168067226890756,14496.00329876035,14228.121513082831,14354.070445744625,0.92,0.76,0.76,0.8397737119755241,0.797596160087009,0.797596160087009,159.66901408450704,74.64583333333333,67.20138888888889,12845.2626953125,9440.537109375,9428.0048828125,0.8679245283018867,0.8260869565217391,0.8260869565217391,0.8214285714285714,0.9047619047619048,0.9047619047619048
intersection,1003,117193.97142857144,52676.05633802817,46433.57746478873,0.043859649122807,0.0172413793103448,0.0172413793103448,14553.969583444985,14215.72315332891,14360.170656655457,0.8461538461538461,0.8076923076923077,0.8076923076923077,0.7907726620184067,0.8297613157787037,0.8297613157787037,157.81428571428572,74.82394366197182,67.76760563380282,12491.291015625,9441.38671875,9201.4130859375,0.830188679245283,0.8571428571428572,0.8571428571428572,0.8148148148148148,0.9130434782608696,0.9130434782608696
