topology,vehicle_count,seed,observed_vehicle_count,peak_concurrent_vehicles,cases,v2x_messages,detection_events,attack_vehicle_count,attack_vehicle_ratio,trace_path
intersection,100,1010,100,100,569,7703,98054,35,0.35,C:\Users\reemg\VPUFT_density_results\traces\intersection\vehicles_100\seed_1010\shared_detection_trace.jsonl
grid,20,1001,20,20,122,1758,9522,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\grid\vehicles_20\seed_1001\shared_detection_trace.jsonl
grid,20,1002,20,20,121,1727,8704,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\grid\vehicles_20\seed_1002\shared_detection_trace.jsonl
grid,20,1003,20,20,119,1710,8444,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\grid\vehicles_20\seed_1003\shared_detection_trace.jsonl
grid,20,1004,20,20,119,1709,8506,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\grid\vehicles_20\seed_1004\shared_detection_trace.jsonl
grid,20,1005,20,20,121,1737,8947,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\grid\vehicles_20\seed_1005\shared_detection_trace.jsonl
grid,20,1006,20,20,119,1710,8539,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\grid\vehicles_20\seed_1006\shared_detection_trace.jsonl
grid,20,1007,20,20,118,1698,8571,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\grid\vehicles_20\seed_1007\shared_detection_trace.jsonl
grid,20,1008,20,20,120,1715,8652,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\grid\vehicles_20\seed_1008\shared_detection_trace.jsonl
grid,20,1009,20,20,117,1688,8516,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\grid\vehicles_20\seed_1009\shared_detection_trace.jsonl
grid,20,1010,20,20,121,1726,8862,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\grid\vehicles_20\seed_1010\shared_detection_trace.jsonl
grid,40,1001,40,40,239,3464,27482,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\grid\vehicles_40\seed_1001\shared_detection_trace.jsonl
grid,40,1002,40,40,239,3456,26493,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\grid\vehicles_40\seed_1002\shared_detection_trace.jsonl
grid,40,1003,40,40,246,3521,27028,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\grid\vehicles_40\seed_1003\shared_detection_trace.jsonl
grid,40,1004,40,40,244,3525,27340,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\grid\vehicles_40\seed_1004\shared_detection_trace.jsonl
grid,40,1005,40,40,244,3508,27579,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\grid\vehicles_40\seed_1005\shared_detection_trace.jsonl
grid,40,1006,40,40,237,3421,25973,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\grid\vehicles_40\seed_1006\shared_detection_trace.jsonl
grid,40,1007,40,40,240,3478,26727,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\grid\vehicles_40\seed_1007\shared_detection_trace.jsonl
grid,40,1008,40,40,236,3400,26005,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\grid\vehicles_40\seed_1008\shared_detection_trace.jsonl
grid,40,1009,40,40,236,3407,25722,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\grid\vehicles_40\seed_1009\shared_detection_trace.jsonl
