central_comparator,topology,vehicle_count,metric,paired_seed_count,distributed_mean,central_mean,mean_difference_distributed_minus_central,ci95_lower,ci95_upper,wilcoxon_raw_p,rank_biserial,holm_adjusted_p_within_comparator_metric_20_cells,holm_reject_0_05,analysis_family
central_crn_available_0ms,grid,100,trust_f1,10,0.775583924540102,0.7764459935056193,-0.0008620689655172486,-0.002586206896551746,0.0,1.0,-1.0,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,100,mcc,10,0.7570666190076357,0.7578979999517544,-0.0008313809441185871,-0.002494142832355761,0.0,1.0,-1.0,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,100,latency_p95_ms,10,15880.649237295927,14470.702150760557,1409.9470865353694,1333.8382859520245,1500.4332515119647,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,100,messages_per_decision,10,27.682249674407142,37.59874449034196,-9.916494815934815,-9.993851848515513,-9.836529644470614,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,100,bytes_per_decision,10,31540.918429985973,26469.51612120074,5071.402308785235,4518.202433205526,5667.2753945843015,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,100,mean_queue_delay_ms,10,5307.761394654965,6513.745562958156,-1205.9841683031914,-1222.6336268562925,-1189.6729740522535,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,100,packet_delivery_ratio,10,0.9800994956696301,0.9799972789141249,0.00010221675550521336,-0.00021019493327022992,0.00040506175469499407,0.625,0.2,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,100,cpu_time_seconds,10,9.5953125,5.9390625,3.65625,3.3968359375,3.9126171874999995,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,grid,100,peak_memory_kb,10,19212.11357421875,20397.95341796875,-1185.83984375,-1246.0732763671876,-1140.5002026367188,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,intersection,20,trust_precision,10,0.9143939393939393,0.9143939393939393,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,intersection,20,malicious_revocation_recall,10,0.66875,0.66875,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,intersection,20,false_revocation_rate,10,0.009849815610619612,0.009849815610619612,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,intersection,20,trust_f1,10,0.7722222222222221,0.7722222222222221,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,intersection,20,mcc,10,0.7545473254086287,0.7545473254086287,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,intersection,20,latency_p95_ms,10,14528.792055515547,14170.295314161853,358.496741353695,337.90138939817547,374.957362515779,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,intersection,20,messages_per_decision,10,61.152003153133634,71.4960867579089,-10.344083604775275,-10.487156309851736,-10.188443977730433,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,intersection,20,bytes_per_decision,10,64350.59454420296,50333.24507756787,14017.349466635089,13258.785566288674,14771.759742228594,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,intersection,20,mean_queue_delay_ms,10,4945.773230251453,6306.893661416725,-1361.1204311652716,-1385.8892023293467,-1334.219052508943,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,intersection,20,packet_delivery_ratio,10,0.9807667919016737,0.9804628585487049,0.00030393335296872157,-0.00030455789464109396,0.001005071648355523,0.76953125,0.12727272727272726,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,intersection,20,cpu_time_seconds,10,3.2265625,2.0921875,1.134375,1.09375,1.178125,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,intersection,20,peak_memory_kb,10,7298.43916015625,7412.88203125,-114.44287109375,-137.85743408203123,-88.70001464843752,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,intersection,40,trust_precision,10,0.9171101006273419,0.9171101006273419,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,intersection,40,malicious_revocation_recall,10,0.790625,0.790625,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,intersection,40,false_revocation_rate,10,0.01097524795120591,0.01097524795120591,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,intersection,40,trust_f1,10,0.8486195740167835,0.8486195740167835,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,intersection,40,mcc,10,0.8308581301198876,0.8308581301198876,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,intersection,40,latency_p95_ms,10,15220.774110304812,14306.040465927863,914.733644376947,864.8087387582895,960.4650911847388,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,intersection,40,messages_per_decision,10,62.7200194660515,72.58784713014668,-9.867827664095179,-9.972546447127101,-9.761358386286627,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
