architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,topology,vehicle_count,seed,backhaul_extra_latency_ms,cpu_time_seconds,peak_memory_kb,source_architecture,derivation
central_crn_available_0ms,10,2,115,6,0.8333333333333334,0.625,0.017094017094017,0.375,0.9829059829059827,0.7142857142857143,0.6902493902658681,7399.999999999992,14116.76253420804,0.0,14052.124445432142,14138.294407249845,14157.74745506583,1.000000000001222,4382,32.94736842105263,3084928,23194.947368421053,66,5732.71106891838,0.9849383842994066,,0,0,0,12,1,0,0,1.3441493000136688,smoke,20,1001,0.0,1.3125,3940.697265625,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,16,4,373,16,0.8,0.5,0.0106100795755968,0.5,0.9893899204244032,0.6153846153846154,0.6094118377104301,10000.0,14234.858325531446,0.0,14120.60931611522,14325.553984141972,14353.527095904978,1.000000000001222,11995,29.327628361858192,8444480,20646.650366748167,218,5929.060592580962,0.981825760733639,,0,0,0,20,1,0,0,3.169633800018346,smoke,80,1002,0.0,3.09375,10586.447265625,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,15,2,373,16,0.8823529411764706,0.4838709677419355,0.0053333333333333,0.5161290322580645,0.9946666666666668,0.625,0.6344732518444509,10000.0,14229.484832533226,0.0,14120.382489264366,14329.31013198113,14354.20480697482,1.000000000001222,11922,29.364532019704438,8393088,20672.63054187192,244,5908.187883241777,0.9795336352960912,,0,0,0,17,1,0,0,3.027311099984217,smoke,80,1003,0.0,2.953125,10494.40625,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,18,3,374,14,0.8571428571428571,0.5625,0.0079575596816976,0.4375,0.9920424403183024,0.6792452830188678,0.674768722149262,10000.0,14240.614167791997,0.0,14126.511598060042,14321.228441980307,14359.220608614964,1.000000000001222,11945,29.20537897310513,8409280,20560.58679706601,216,5938.269285559522,0.9819171201339472,,0,0,0,21,1,0,0,3.035981699998956,smoke,80,1004,0.0,3.03125,10530.646484375,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,16,3,374,16,0.8421052631578947,0.5,0.0079575596816976,0.5,0.9920424403183024,0.6274509803921569,0.6278257498408437,10000.0,14206.842419644205,0.0,14118.37340353884,14338.579423882962,14356.824160554565,1.000000000001222,11985,29.30317848410758,8437440,20629.437652811732,234,5930.466282186793,0.9804755944931164,,0,0,0,19,1,0,0,3.0686526000208687,smoke,80,1005,0.0,3.046875,10565.810546875,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,15,3,376,18,0.8333333333333334,0.4545454545454545,0.0079155672823219,0.5454545454545454,0.992084432717678,0.5882352941176471,0.5931164823422441,10000.0,14242.475120709803,0.0,14118.089307349464,14323.701666349423,14355.177433643308,1.000000000001222,12111,29.395631067961165,8526144,20694.52427184466,237,5932.728319049481,0.9804310131285608,,0,0,0,18,1,0,0,3.0853001000068616,smoke,80,1006,0.0,3.046875,10677.9130859375,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,20,3,378,13,0.8695652173913043,0.6060606060606061,0.0078740157480314,0.3939393939393939,0.9921259842519684,0.7142857142857143,0.7073002868192245,10000.0,14249.937712881028,0.0,14124.5528041431,14316.348391057112,14340.103130810414,1.000000000001222,12208,29.48792270531401,8594432,20759.497584541063,227,5946.738259502654,0.9813237221494102,,0,0,0,23,1,0,0,3.0990371000079904,smoke,80,1007,0.0,3.046875,10776.248046875,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,14,3,372,17,0.8235294117647058,0.4516129032258064,0.008,0.5483870967741935,0.992,0.5833333333333333,0.5881679956429684,10000.0,14220.343196544,0.0,14117.535903713851,14313.09341771528,14362.924089562692,1.000000000001222,11800,29.064039408867,8307200,20461.08374384237,234,5913.526420339663,0.9801694915254238,,0,0,0,17,1,0,0,3.4704360000032466,smoke,80,1008,0.0,3.359375,10387.2197265625,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,17,3,376,17,0.85,0.5,0.0079155672823219,0.5,0.992084432717678,0.6296296296296295,0.6300679905820331,10000.0,14205.882437345526,0.0,14130.880408335655,14339.285397312056,14373.074590087575,1.000000000001222,12169,29.46489104116223,8566976,20743.28329297821,270,5912.781597173836,0.9778124743199934,,0,0,0,20,1,0,0,3.107711300021037,smoke,80,1009,0.0,3.109375,10706.734375,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,14,2,372,17,0.875,0.4516129032258064,0.0053475935828877,0.5483870967741935,0.9946524064171124,0.5957446808510638,0.6090809050184083,10000.0,14220.276763323218,0.0,14109.978578311697,14316.607740556869,14344.98351603518,1.000000000001222,11840,29.234567901234566,8335360,20581.135802469136,223,5896.358320946671,0.9811655405405404,,0,0,0,16,1,0,0,3.1345888000214472,smoke,80,1010,0.0,3.109375,10433.7099609375,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,14,3,419,17,0.8235294117647058,0.4516129032258064,0.0071090047393364,0.5483870967741935,0.9928909952606636,0.5833333333333333,0.5905340464563632,10399.999999999978,14251.733175888929,0.0,14123.580145646967,14357.256499438396,14380.476678410078,1.000000000001222,12788,28.229580573951434,9002752,19873.62472406181,235,5867.505562090365,0.9815451986237096,,0,0,0,17,1,0,0,3.29033989997697,smoke,100,1001,0.0,3.25,11286.890625,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
