architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,topology,vehicle_count,seed,backhaul_extra_latency_ms,cpu_time_seconds,peak_memory_kb
central_crn_available_0ms,10,1,116,6,0.9090909090909091,0.625,0.008547008547008548,0.375,0.9914529914529915,0.7407407407407406,0.7280758546857721,7399.999999999992,14118.63146085342,0.0,14057.533393468617,14172.775194090345,14189.425023892409,1.0000000000012221,4430,33.30827067669173,3118720,23449.022556390977,90,5614.298298871423,0.9796839729119639,,0,0,0,11,1,0,0,1.7462634000112303,smoke,20,1007,0.0,1.71875,4011.5849609375
central_crn_operational_0ms,10,1,116,6,0.9090909090909091,0.625,0.008547008547008548,0.375,0.9914529914529915,0.7407407407407406,0.7280758546857721,7399.999999999992,14118.63146085342,0.0,14057.533393468617,14172.775194090345,14189.425023892409,1.0000000000012221,4430,33.30827067669173,3118720,23449.022556390977,90,5614.298298871423,0.9796839729119639,,0,0,0,11,1,0,0,1.736967899982119,smoke,20,1007,0.0,1.6875,3958.2958984375
distributed_crn_honest,9,1,116,7,0.9,0.5625,0.008547008547008548,0.4375,0.9914529914529915,0.6923076923076923,0.6833973312109892,7399.999999999992,14210.432678559133,194.9655593596219,14172.066446839633,14306.98440300918,14327.771639242826,15.761277706609356,3220,24.210526315789473,3417280,25693.834586466164,53,4392.089634473894,0.9835403726708074,1.0,0,0,0,10,1,0,0,2.8314173000107985,smoke,20,1008,0.0,2.765625,3754.0947265625
central_crn_available_0ms,9,1,116,7,0.9,0.5625,0.008547008547008548,0.4375,0.9914529914529915,0.6923076923076923,0.6833973312109892,7399.999999999992,14114.397684848442,0.0,14056.643199409295,14135.05279085177,14162.312550045852,1.0000000000012221,4388,32.99248120300752,3089152,23226.706766917294,81,5637.0382734731875,0.9815405651777576,,0,0,0,10,1,0,0,2.2834135000011884,smoke,20,1008,0.0,2.265625,3931.6064453125
central_crn_operational_0ms,9,1,116,7,0.9,0.5625,0.008547008547008548,0.4375,0.9914529914529915,0.6923076923076923,0.6833973312109892,7399.999999999992,14114.397684848442,0.0,14056.643199409295,14135.05279085177,14162.312550045852,1.0000000000012221,4388,32.99248120300752,3089152,23226.706766917294,81,5637.0382734731875,0.9815405651777576,,0,0,0,10,1,0,0,2.184220600000117,smoke,20,1008,0.0,2.140625,3927.9736328125
distributed_crn_honest,10,1,116,6,0.9090909090909091,0.625,0.008547008547008548,0.375,0.9914529914529915,0.7407407407407406,0.7280758546857721,7399.999999999992,14208.353010923358,259.4699019965781,14155.093741374309,14392.04892733915,14435.873164144528,15.007690247989203,3337,25.090225563909776,3706208,27866.225563909775,73,4075.6558828242437,0.9781240635301168,1.0,0,0,0,11,1,0,0,3.6118416000099387,smoke,20,1009,0.0,3.578125,3871.09765625
central_crn_available_0ms,10,1,116,6,0.9090909090909091,0.625,0.008547008547008548,0.375,0.9914529914529915,0.7407407407407406,0.7280758546857721,7399.999999999992,14139.306955766486,0.0,14056.068891460736,14158.226126158766,14184.709925147368,1.0000000000012221,4407,33.13533834586466,3102528,23327.27819548872,89,5606.1859332880385,0.9798048559110506,,0,0,0,11,1,0,0,2.219659700000193,smoke,20,1009,0.0,2.203125,3936.16015625
central_crn_operational_0ms,10,1,116,6,0.9090909090909091,0.625,0.008547008547008548,0.375,0.9914529914529915,0.7407407407407406,0.7280758546857721,7399.999999999992,14139.306955766486,0.0,14056.068891460736,14158.226126158766,14184.709925147368,1.0000000000012221,4407,33.13533834586466,3102528,23327.27819548872,89,5606.1859332880385,0.9798048559110506,,0,0,0,11,1,0,0,2.1544400000129826,smoke,20,1009,0.0,2.125,3937.26171875
distributed_crn_honest,10,1,116,6,0.9090909090909091,0.625,0.008547008547008548,0.375,0.9914529914529915,0.7407407407407406,0.7280758546857721,7399.999999999992,14196.339389147755,161.39986079267032,14171.097266673229,14304.610723189422,14321.120590010614,14.625381704433948,3314,24.917293233082706,3562976,26789.293233082706,59,4213.698901230814,0.9821967410983705,1.0,0,0,0,11,1,0,0,2.8466371999820694,smoke,20,1010,0.0,2.828125,3911.6025390625
central_crn_available_0ms,10,1,116,6,0.9090909090909091,0.625,0.008547008547008548,0.375,0.9914529914529915,0.7407407407407406,0.7280758546857721,7399.999999999992,14149.3190179551,0.0,14060.465642892954,14159.243738339686,14178.139595757297,1.0000000000012221,4431,33.31578947368421,3119424,23454.315789473683,95,5623.775978334543,0.9785601444369217,,0,0,0,11,1,0,0,1.6545874000003096,smoke,20,1010,0.0,1.65625,3957.3671875
